category,total_sales,sales_contribution
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1564932.00,34.179403
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,1071302.00,23.398118
Electronics|WearableTechnology|SmartWatches,177817.00,3.883670
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,84183.00,1.838626
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,84049.00,1.835699
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,81128.00,1.771902
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",75880.00,1.657282
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",55250.00,1.206705
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",50761.00,1.108662
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",49403.00,1.079002
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",47668.00,1.041108
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",46899.00,1.024313
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",43085.00,0.941012
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",42990.00,0.938937
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",39942.00,0.872366
Computers&Accessories|Laptops|TraditionalLaptops,37247.00,0.813505
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",36855.00,0.804944
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",33878.00,0.739923
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,32941.00,0.719459
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,31382.00,0.685409
"Electronics|HomeTheater,TV&Video|Projectors",29970.00,0.654569
Computers&Accessories|Tablets,26999.00,0.589680
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",22615.00,0.493930
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",22243.00,0.485805
